delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,level
209741,13724,1229,12961,5370,6561,3552,4911,1
443418,53321,9392,12808,3989,6354,4030,2506,1
133542,23649,5404,4969,3990,3692,5169,2195,1
642299,57329,12470,11396,8492,6499,4268,1958,1
231780,53265,45246,20923,9593,6511,6707,10785,1
329877,54080,57787,10976,6324,19752,8616,10079,1
143550,44851,26929,6079,5847,3320,2104,2565,1
1772415,238255,40715,44966,9008,23124,14138,8584,1
1209965,85174,13810,20379,24216,15225,26371,17239,1
105296,57340,27829,8470,9291,33059,11809,11311,1
418770,236839,37332,16546,42355,19550,11541,6366,1
117672,21328,4867,1400,5247,4391,2254,3162,1
59108,24553,94482,5499,7928,25898,10204,7510,1
69021,57421,65524,22763,2659,11211,9310,7504,1
14565,52402,43355,10881,9486,8940,6010,10155,1
785485,7657,9658,2921,4295,2966,1954,1587,1
43368,24917,9770,6179,1230,3460,2026,1805,1
213405,61786,8348,2833,8012,6053,2962,2499,1
296535,127234,11077,21293,36660,14885,8283,7026,1
1643047,42646,16870,8826,4963,2882,667,648,1
317884,34406,3620,24934,7459,2478,1427,617,1
790934,299651,17794,11993,8303,21912,3619,8173,1
206335,51410,7187,13452,2971,3888,2715,4163,1
22637,79986,44968,9840,20946,19301,6170,4428,1
50858,216483,53218,4781,15276,11455,6104,3578,1
16494,55586,41613,8832,3303,12282,5698,3839,1
117313,77501,36471,27268,12830,7933,3054,5336,1
54596,57039,8018,15220,6840,7274,4076,6237,1
166561,97371,54328,32857,4402,12355,3760,6498,1
209113,34485,9958,4708,11386,14927,3977,3062,1
1733665,142685,27086,18254,22857,18288,3986,5930,1
590468,38149,6968,11103,5417,5109,2088,1797,1
387108,79437,22971,4820,1959,4594,633,509,1
929145,45178,10045,29112,7437,7692,1396,969,1
1253216,691669,4696,62757,102280,77290,5783,7267,1
1491901,59184,187041,169007,126582,49690,27955,2716,1
1904725,14866,42989,43973,35228,40120,2517,722,1
598617,199303,33153,15724,11329,8540,2547,1349,1
1584088,193169,47534,21582,41411,15804,6936,3779,1
1153697,968108,160039,60463,26308,35323,18854,10692,1
776616,1238380,611196,352522,279579,146569,18409,19323,1
1291678,115078,21997,42489,7079,16606,2931,1257,1
782077,185363,54071,90703,10782,12012,11153,5576,1
783021,52584,11292,44765,9132,6567,3549,2038,1
807050,29843,3330,27474,7933,6707,1956,647,1
750445,317051,29470,22276,3037,4548,1667,1392,1
2817108,128524,39734,108130,25239,13533,3202,2686,1
80378,306076,25217,14069,23428,10125,1805,1425,1
483780,19660,12947,5351,6422,4834,1473,862,1
1640597,212387,60168,82828,67914,18005,5681,8243,1
731814,56986,19274,22226,32882,12526,4489,829,1
143477,56048,28014,21518,20486,9736,2001,2885,1
752747,90557,35900,5975,25949,31224,5826,2618,1
820255,104311,14537,29353,3658,13778,5622,2342,1
2650023,1487625,198121,361665,290871,404079,170644,90403,1
775320,292985,191053,103773,39818,11291,3531,4477,1
1761976,87368,15281,14849,14818,6390,4348,3026,1
733954,28572,5338,10791,5119,6048,1314,757,1
44363,38978,8304,11191,2679,1984,2009,241,1
566101,33556,31344,5394,16063,1961,2743,756,1
888321,100462,11253,183341,22748,9377,4221,2911,1
59635,30534,23172,12169,14732,4577,3553,726,1
76022,33264,3508,2689,3373,1821,371,806,1
612197,33156,17292,7901,5569,1592,342,373,1
628442,26168,5350,1610,1746,888,234,105,1
325620,42733,52073,7772,10340,7230,1623,1961,1
1152548,37789,12803,82973,3780,7341,2730,1962,1
174827,8810,1255,3280,2807,2907,343,198,1
990373,116166,93937,15858,45134,24392,7084,3897,1
225001,35559,22463,76308,15595,19061,2383,2171,1
776269,153110,23099,95731,24992,57931,4224,1814,1
616320,59163,13164,3584,14508,12552,883,341,1
1275485,51361,36665,25167,34103,7559,1923,1451,1
351626,53433,22098,7405,9786,4968,1137,776,1
885384,131455,2905,71097,21749,10804,3468,1335,1
494095,454233,40142,124797,37934,16124,4624,2571,1
495727,23268,30672,13885,12143,12587,1366,582,1
843381,144960,3451,43826,37736,11158,1124,2093,1
2162474,389483,215463,151083,42384,39172,8656,2088,1
616999,8948,5671,997,1168,1636,379,388,1
749148,164185,36315,39517,18003,12034,1345,1152,1
511194,229737,65216,73100,47563,24791,5046,2822,1
954948,138738,87794,48282,23682,16357,4202,2842,1
156218,156640,78037,47210,12393,5990,3476,1763,1
1127161,139357,25555,46392,36394,35283,8984,3982,1
207946,36247,13660,21140,8161,5237,809,251,1
66891,58881,6122,18721,15078,13217,1271,907,1
520910,56570,8829,25155,13951,3709,506,224,1
1541157,528417,36133,50459,25689,32784,5597,2883,1
390423,59469,6484,5229,7066,1185,533,744,1
84653,20050,13595,31488,11895,1907,1251,440,1
819055,629411,56463,47644,19334,8995,4097,2836,1
164143,12672,23176,4056,4786,6947,438,394,1
763383,41967,9304,5222,7375,7881,974,1214,1
212121,19026,294,2683,903,977,129,98,1
175459,21095,14222,19767,5877,2045,1689,567,1
322984,58104,16930,13191,21455,7507,2515,2928,1
63232,78942,143087,33240,5188,6663,2842,802,1
88204,110734,56050,18023,6890,4650,1634,1538,1
175985,46123,27008,37794,8581,5763,2248,1548,1
842257,225069,76384,78246,45573,17520,3530,3415,1
1644233,12665,14553,19675,5527,4379,692,404,1
468620,2383,4865,5061,4148,2173,3395,1897,1
90144,11109,3700,882,3304,507,221,127,1
844396,42205,15599,19295,18768,5809,1759,1149,1
265215,65281,3667,11641,5283,6236,2379,681,1
1258909,52347,4514,5343,14078,2556,1408,463,1
882032,23491,5625,14614,16354,3750,3181,601,1
614434,9312,6636,6963,6393,8993,1087,1288,1
1462066,228460,46616,97492,30978,60443,23933,7331,1
2417196,316626,40499,173438,120791,159475,10542,10617,1
333126,9150,3575,1615,2784,1683,268,214,1
2008931,76076,74521,157778,109394,196693,12749,3167,1
908658,283094,76192,131874,262941,88864,33809,25802,1
346441,31605,15555,3924,1087,2707,1852,1746,1
3154237,1212531,105979,547733,583342,1011505,812812,293954,1
1503852,42568,1209,4829,14640,9833,1562,414,1
1046678,8276,686,3337,1934,4736,234,205,1
2134732,552917,193120,202611,96906,71832,25019,3839,1
57897,5995,5989,1339,1909,3182,214,65,1
469685,79380,28234,3203,19884,28250,2446,1018,1
1073624,5197,1471,4903,6988,3766,906,106,1
183266,18660,5990,4273,19597,16372,1501,1973,1
1979988,100790,68527,34567,87183,98597,6699,2199,1
673978,324762,13057,28552,14332,14007,11486,5787,1
425981,96293,10948,10377,9839,5342,4185,791,1
624571,724299,243256,351129,132262,109907,103838,145021,1
1295762,176262,101388,23156,20886,23616,12221,3527,1
313729,387664,116867,217575,531757,212232,180385,113892,1
873665,1080225,347609,175535,270360,188655,108492,124425,1
575389,85345,49425,39422,15462,3800,1091,1029,1
673242,6457,6167,4726,1468,1225,140,85,1
93156,8888,2517,534,989,385,240,191,1
483548,175041,105872,31327,11177,7775,1558,1317,1
354485,503762,25599,16405,4540,5236,2544,739,1
820826,40369,35982,50880,12228,29036,2622,2245,1
271629,8515,50128,57664,5032,7357,1799,1037,1
213504,271230,25985,71962,131988,125884,56498,22048,1
726706,520303,160650,195088,133528,146204,114198,32880,1
96724,6307,2412,2398,2395,897,115,96,1
287138,92380,73148,11472,9951,6423,1622,1302,1
55336,105206,17146,27197,5731,8925,2111,1429,1
33819,197010,34669,10260,6369,3119,2269,981,1
56976,70629,5207,20447,11313,2761,815,571,1
131345,7065,3618,3382,3372,3111,711,383,1
57601,10812,28861,12692,5855,3349,1042,1082,1
73988,59661,33545,3928,2633,3199,1996,1639,1
16916,41623,38823,14228,3337,5051,1656,769,1
82180,23497,7957,6261,4791,3588,1022,1678,1
55198,43489,19960,9562,3984,9073,849,730,1
106914,2905,1471,1640,1398,404,744,216,1
33491,23419,13410,4360,10269,2597,1443,703,1
50422,11919,12575,6030,10118,4133,1826,1066,1
413237,55626,14694,1557,6441,6615,1528,2990,1
921526,424485,17825,17267,19301,12946,4997,2589,1
34179,66132,34298,8935,5407,3311,2068,3746,1
275774,119241,81123,100973,23444,37241,10768,11824,1
718560,395245,37049,56414,36945,21986,4542,444,1
655531,19763,5341,7174,5277,4720,372,311,1
1052689,175047,30438,22146,6710,3208,1432,652,1
752808,15361,16455,13143,3036,5285,1604,1101,1
554862,190240,17559,31275,4112,8228,4320,2676,1
173227,143068,50215,3052,7524,8155,4678,3529,1
899819,116780,15188,77149,30905,48144,6539,2352,1
480200,12141,2317,1870,918,521,184,89,1
500562,146744,9060,9042,7470,3884,3340,2346,1
143683,17532,6918,17711,7877,4880,3730,1393,1
175159,61202,11506,8261,6907,2097,4974,2640,1
123727,126441,77855,50874,16328,4979,4572,2776,1
971149,158845,12021,62299,22489,12884,6368,4482,1
79717,84405,11773,11323,13982,2142,3489,2193,1
78648,46393,12960,23157,17173,2257,3565,1246,1
70283,20045,11826,38466,13588,8235,3316,2107,1
9462,24448,1144,6154,5836,4016,3475,2701,1
23619,15652,32617,6446,8177,3964,3001,3286,1
74236,43769,9126,10106,6405,4277,3405,1682,1
94478,55790,14519,23924,5210,1790,1158,1767,1
32107,64522,14823,11931,14694,7602,4151,1205,1
82296,42977,51371,17041,5799,5748,2519,1511,1
29244,12171,56488,3233,5498,8931,3128,1833,1
